sex,length,type
M,1.30000,2
M,1.32001,3
M,1.32002,3
M,1.40000,3
M,1.42001,2
M,1.42002,3
M,1.47001,2
M,1.47002,3
M,1.50000,2
M,1.52000,2
M,1.63000,2
M,1.65001,1
M,1.65002,1
M,1.65003,2
M,1.65004,3
M,1.68000,3
M,1.70000,2
M,1.73000,1
M,1.78001,3
M,1.78002,1
M,1.80000,3
M,1.85000,3
M,1.93001,2
M,1.93002,3
M,1.98000,2
M,2.03001,3
M,2.03002,3
M,2.31000,3
M,2.36000,3
M,2.46000,3
M,3.25000,1
M,3.28000,1
M,3.33000,3
M,3.56000,3
M,3.58000,3
M,3.66000,3
M,3.68000,1
M,3.71000,3
M,3.89000,3
F,1.24000,2
F,1.30000,2
F,1.45001,2
F,1.45002,1
F,1.55000,2
F,1.60010,2
F,1.60020,2
F,1.65000,3
F,1.78001,2
F,1.78002,1
F,1.80000,2
F,1.88000,2
F,2.16000,3
F,2.26000,3
F,2.31000,3
F,2.36000,3
F,2.39000,3
F,2.41000,3
F,2.44000,3
F,2.56000,1
F,2.67000,3
F,2.72000,2
F,2.79000,3
F,2.84000,3