Name,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56
Air France,,100,12,5,33,29,5,7,25,6,6,37,4,8,4,6,42,2,36,29,37,35,9,28,35,35,35,31,44,27,31,27,4,4,6,6,36,2,2,8,8,10,11,3,11,41,8,6,23,14,16,12,10,21,7,8,25
Ariel,,12,100,74,8,6,2,6,2,10,10,1,3,8,2,72,1,3,11,9,2,10,73,13,0,5,1,6,3,0,0,0,10,10,80,8,5,2,6,11,70,3,4,2,1,6,92,5,15,15,12,71,81,5,3,6,0
Ariel 100,,5,74,100,6,10,8,9,2,7,7,3,3,11,4,78,3,11,6,0,4,5,69,7,0,5,1,3,6,0,0,1,4,13,67,8,6,8,7,8,68,6,4,5,2,2,81,6,9,15,15,79,69,4,11,10,2
Balto,,33,8,6,100,53,9,19,10,41,31,12,19,17,16,2,14,6,56,33,12,19,3,12,12,23,12,10,23,6,6,9,22,18,6,27,41,13,23,19,8,10,22,18,19,43,2,16,33,30,25,5,7,39,16,24,11
Bastos legere,,29,6,10,53,100,7,21,20,18,18,28,5,10,7,5,26,4,34,21,27,23,7,16,24,31,21,23,36,16,15,16,17,9,5,19,34,9,10,12,7,6,14,11,16,31,0,19,25,20,19,5,3,22,10,17,21
Benson and Hedges,,5,2,8,9,7,100,67,2,12,19,3,40,37,45,14,3,65,9,18,5,3,3,6,0,3,3,3,7,0,0,3,37,27,2,32,16,31,34,20,5,30,21,47,28,5,2,51,17,27,14,5,0,20,32,32,2
Black and White,,7,6,9,19,21,67,100,3,11,22,3,40,52,49,21,3,56,14,28,5,8,9,11,0,5,0,6,11,0,0,5,42,31,11,46,14,36,39,30,9,21,22,61,41,8,4,57,22,25,14,6,3,22,29,47,3
Boyard Mais,,25,2,2,10,20,2,3,100,6,4,58,3,4,1,5,37,2,5,8,39,31,5,17,42,29,33,31,35,39,35,69,1,4,0,1,9,3,1,1,2,3,4,5,3,14,0,2,6,5,5,2,3,4,3,4,81
Camel,,6,10,7,41,18,12,11,6,100,82,10,24,15,22,12,8,16,14,12,9,13,6,10,7,8,6,5,7,3,3,5,25,24,7,27,14,28,42,28,13,18,24,14,24,12,6,13,13,20,12,4,4,12,19,26,6
Camel filtre,,6,10,7,31,18,19,22,4,82,100,8,25,21,27,15,7,17,11,12,8,15,8,11,5,9,4,9,10,4,3,6,28,25,9,29,12,36,38,38,16,22,43,16,24,12,8,21,14,22,15,6,5,16,23,30,6
Celtique,,37,1,3,12,28,3,3,58,10,8,100,4,6,3,2,52,3,12,9,43,30,3,19,60,30,46,46,45,49,38,49,1,3,0,1,13,3,0,1,1,3,4,4,4,17,0,4,6,4,7,1,0,8,3,3,71
Craven A,,4,3,3,19,5,40,40,3,24,25,4,100,45,61,9,4,40,19,16,11,4,6,8,2,5,3,6,5,3,3,3,37,28,5,34,23,30,29,26,6,20,23,45,64,17,0,42,14,20,13,5,3,37,24,35,5
Craven A Export,,8,8,11,17,10,37,52,4,15,21,6,45,100,62,15,4,33,16,36,4,6,6,10,0,6,2,4,7,0,0,4,42,30,8,37,16,27,25,33,12,24,27,51,42,15,3,55,21,31,18,4,2,37,34,40,5
Craven A filtre,,4,2,4,16,7,45,49,1,22,27,3,61,62,100,10,3,37,14,21,6,4,5,7,1,3,2,5,6,1,1,2,51,31,6,47,25,36,33,34,10,27,29,47,48,12,2,53,21,25,15,4,2,31,33,49,1
Craven A menthol,,8,72,78,2,5,14,21,5,12,15,2,9,15,10,100,2,11,2,11,2,8,75,15,0,8,0,6,7,0,0,2,13,9,74,16,8,14,6,14,84,7,9,10,9,0,89,13,8,11,10,77,77,2,13,16,2
Disque bleu,,42,1,3,14,26,3,3,37,8,7,52,4,4,3,2,100,2,9,2,40,43,10,20,86,44,89,76,49,70,74,60,2,1,2,1,11,2,0,1,2,1,3,4,5,20,0,3,3,4,3,1,3,6,3,2,41
Dunhill international,,2,3,11,6,4,65,56,2,16,17,3,40,33,37,11,2,100,3,11,8,1,4,8,0,2,1,3,5,0,0,2,24,27,1,22,7,38,29,22,5,31,18,33,30,10,0,40,6,17,21,6,0,15,28,22,2
Flash,,38,11,6,56,34,9,14,5,14,11,12,19,16,14,2,9,3,100,49,13,12,4,19,8,13,9,9,11,4,3,4,22,16,5,27,43,6,12,23,6,14,12,18,12,45,5,15,53,37,38,6,8,43,15,30,5
Flint,,29,9,0,33,21,18,28,8,12,12,9,16,36,21,11,2,11,49,100,12,8,5,22,2,11,2,8,8,2,2,4,33,22,8,30,37,13,19,31,11,25,27,29,28,54,11,28,42,33,26,2,4,34,18,35,9
Fontenoy,,37,2,4,12,27,5,5,39,9,8,43,11,4,6,2,40,8,13,12,100,48,6,24,39,24,33,34,24,42,41,38,5,6,3,4,24,4,2,3,2,4,4,4,10,28,2,5,12,6,11,2,2,17,5,6,46
Francaise,,35,10,5,10,23,3,8,31,13,15,30,4,6,4,8,43,1,12,8,48,100,20,24,39,30,35,41,28,34,36,33,4,3,8,9,21,6,5,5,5,3,10,2,5,20,8,6,18,13,9,6,13,7,3,6,30
Francaise menthol,,9,73,69,3,7,3,9,5,6,8,3,6,6,5,75,10,4,4,5,6,20,100,18,6,11,8,16,11,8,8,7,7,9,69,6,4,4,5,8,68,1,7,2,3,2,80,7,10,10,10,72,81,4,4,5,5
Gallia,,28,13,7,12,16,6,11,17,10,11,19,8,10,7,15,20,8,19,22,24,24,18,100,15,44,17,27,38,15,17,13,6,7,10,7,21,6,5,10,9,6,11,6,5,19,11,7,17,6,14,5,13,6,6,11,21
Gauloise,,35,0,0,12,24,0,0,42,7,5,60,2,0,1,0,86,0,8,2,39,39,6,15,100,38,82,66,45,78,66,62,1,0,0,0,9,1,0,0,0,1,0,2,1,14,0,0,2,2,1,0,1,3,1,1,45
Gauloise doux,,35,5,5,23,31,3,5,29,8,9,30,5,6,3,8,44,2,13,10,24,30,11,44,38,100,46,39,73,29,31,31,3,3,3,1,10,2,2,1,5,3,3,2,5,20,6,3,5,4,3,2,6,7,4,3,27
Gauloise filtre,,35,1,1,12,21,3,0,33,6,4,46,3,2,2,0,89,1,9,2,33,35,8,17,82,46,100,77,46,65,73,55,1,1,1,0,10,1,1,0,0,3,0,2,1,14,0,2,3,4,2,0,1,5,1,1,32
Gauloise grand format,,31,6,3,10,23,3,6,31,5,9,46,6,4,5,6,76,3,9,8,34,41,16,27,66,39,77,100,46,56,67,48,3,4,5,2,13,2,0,2,1,1,4,2,3,14,4,5,7,5,6,4,7,6,3,2,32
Gauloise Maryland,,44,3,6,23,36,7,11,35,7,10,45,5,7,6,7,49,5,11,8,24,28,11,39,45,73,46,46,100,34,37,35,4,5,5,4,16,5,5,2,5,6,5,3,6,20,3,2,8,7,6,2,4,11,8,5,36
Gitane blanc,,27,0,0,6,16,0,0,39,3,4,49,3,0,1,0,70,0,4,2,42,34,8,15,78,29,65,56,34,100,81,69,2,0,0,0,7,1,0,1,0,1,0,2,4,16,0,2,2,2,1,0,2,6,1,1,48
Gitane filtre blanc,,31,0,0,6,15,0,0,35,3,3,38,3,0,1,0,74,0,3,2,41,36,8,17,66,31,73,67,37,81,100,69,1,0,1,0,8,1,0,0,0,1,0,2,4,20,0,0,3,2,2,0,2,6,1,1,37
Gitane mais,,27,0,1,9,16,3,5,69,5,6,49,3,4,2,2,60,2,4,4,38,33,7,15,62,31,55,48,35,69,68,100,3,3,1,2,7,3,1,1,1,3,3,6,4,18,0,2,4,4,5,1,1,7,4,2,54
Kent rigide souple,,4,10,4,22,17,37,47,1,25,28,1,37,42,51,13,2,24,22,33,5,4,7,6,1,3,1,3,4,2,1,3,100,58,13,65,35,39,36,55,19,35,31,50,32,12,6,56,31,28,15,4,6,27,41,61,2
Kent 100 mm de luxe,,4,10,13,18,9,27,31,4,24,25,3,28,30,31,9,1,27,16,22,6,3,9,7,0,3,1,4,5,0,0,3,58,100,10,48,22,54,49,43,12,73,63,35,22,9,3,26,27,28,38,15,5,21,75,46,4
Kool,,0,80,67,6,5,2,11,0,7,9,0,5,8,6,74,2,1,5,8,3,8,69,10,0,3,1,5,5,0,1,1,13,10,100,14,7,6,7,13,80,8,4,4,5,2,94,11,12,12,7,68,78,3,7,13,0
Marlboro,,6,8,8,23,19,32,46,1,27,29,1,34,37,47,16,1,22,27,30,4,9,6,7,0,1,0,2,4,0,0,2,65,48,14,100,42,42,44,66,23,37,36,50,33,10,6,52,40,33,22,9,3,27,40,90,1
Marigny,,36,5,6,41,34,16,14,9,14,12,13,23,16,25,8,11,7,43,37,24,21,4,21,9,10,10,13,16,7,8,7,35,22,7,42,100,21,19,27,10,16,19,27,16,37,0,24,37,20,23,5,5,34,21,38,13
Pall Mall 100 mm,,2,2,8,13,9,31,36,3,28,36,3,30,27,36,14,2,38,6,13,4,6,4,6,1,2,1,2,5,1,1,3,39,54,6,42,21,100,47,45,15,59,70,33,26,2,2,28,18,28,31,9,0,14,64,44,3
Pall Mall KS,,2,6,7,23,10,34,39,1,42,38,0,29,25,33,6,0,29,12,19,2,5,5,5,0,2,1,0,5,0,0,1,36,49,7,44,19,47,100,46,14,48,38,26,24,4,4,26,27,21,21,10,2,14,43,42,1
Peter Stuyvesant,,8,11,8,19,12,20,30,1,28,38,1,26,33,34,14,1,22,23,31,3,5,8,10,0,1,0,2,2,1,0,1,55,43,13,66,27,45,46,100,23,47,34,22,22,12,8,41,41,31,28,9,5,20,42,62,1
Peter Stuyvesant menthol,,8,70,68,8,7,5,9,2,13,16,1,6,12,10,84,2,5,6,11,2,5,68,9,0,5,0,1,5,0,0,1,19,12,80,23,10,15,14,23,100,12,22,4,8,2,87,11,11,12,7,73,70,5,12,23,2
Peter Stuyvesant luxury,,10,3,6,15,6,30,21,3,18,22,3,20,24,27,7,1,31,14,25,4,3,1,6,1,3,3,1,6,1,1,3,35,73,8,37,16,59,48,47,12,100,61,20,19,12,0,21,23,31,45,8,0,14,69,36,2
Philips Morris 100 mm,,11,4,4,22,14,21,22,4,24,43,4,23,27,29,9,3,18,12,27,4,10,7,11,0,3,0,4,5,0,0,3,31,63,4,36,19,70,38,34,22,6,100,35,27,16,0,26,14,14,18,11,4,18,67,31,5
Players Gold leafe,,3,2,5,18,11,47,61,5,14,16,4,45,51,47,10,4,33,10,29,4,2,2,6,2,2,2,2,3,2,2,6,50,35,4,50,27,33,26,22,4,20,35,100,44,10,3,50,25,27,17,4,0,30,30,52,5
Players navy cut,,11,1,2,19,16,28,41,3,24,24,4,64,42,49,9,5,30,12,28,10,5,3,5,1,5,1,3,6,4,4,4,32,22,5,33,16,26,24,22,8,19,27,44,100,29,0,45,13,17,10,1,1,42,24,33,5
Rallye,,41,6,2,43,31,5,8,14,12,12,17,17,15,12,0,20,10,45,54,28,20,2,19,14,20,14,14,20,16,20,18,12,9,2,10,37,2,4,12,2,12,16,10,29,100,0,18,28,30,19,2,4,44,9,15,16
Reyno,,8,92,81,2,0,2,4,0,6,8,0,0,3,2,89,0,0,5,11,2,8,80,11,0,6,0,4,3,0,0,0,6,3,94,6,0,2,4,8,87,0,0,3,0,0,100,3,6,11,9,82,88,0,2,6,0
Rothmans king size,,6,5,6,16,19,51,57,2,13,21,4,42,55,53,13,3,40,15,28,5,6,7,7,0,3,2,5,2,2,0,2,56,26,11,52,24,28,26,41,11,21,26,50,45,18,3,100,21,28,17,2,3,29,24,48,2
Royale,,23,15,9,33,25,17,22,6,13,14,6,14,21,21,8,3,6,53,42,12,18,10,17,2,5,3,7,8,2,3,4,31,27,12,40,37,18,27,41,11,23,14,25,13,28,6,21,100,52,49,12,13,34,24,41,4
Royale club,,14,15,15,30,20,27,25,5,20,22,4,20,31,25,11,4,17,37,33,6,13,10,6,2,4,4,5,7,2,2,4,28,28,12,33,20,28,21,31,12,31,14,27,17,30,11,28,52,100,57,15,7,27,36,41,2
Royale extra longue,,16,12,15,25,19,14,14,5,12,15,7,18,18,15,10,3,21,38,26,11,9,10,14,1,3,2,6,6,1,2,5,15,38,7,22,23,31,21,28,7,45,18,17,10,19,9,17,49,57,100,21,11,25,46,25,3
Royale extra longue menthol,,12,71,79,5,5,5,6,2,4,6,1,5,4,4,77,1,6,6,2,2,6,72,5,0,2,0,4,2,0,0,1,4,15,68,9,5,9,10,9,73,8,11,4,1,2,82,2,12,15,21,100,79,5,10,9,2
Royale menthol,,10,81,69,7,3,0,3,3,4,5,0,3,2,2,77,3,0,8,4,2,13,81,13,1,6,1,7,4,2,2,1,6,5,78,3,5,0,2,5,70,0,4,0,1,4,88,3,13,7,11,79,100,7,0,3,3
Week end,,21,5,4,39,22,20,22,4,12,16,8,37,37,31,2,6,15,43,34,17,7,4,8,3,7,5,6,11,6,6,7,27,21,3,27,34,14,14,20,5,14,18,30,42,44,0,29,34,27,25,5,7,100,23,26,7
Winston 100 mm,,7,3,11,16,10,32,29,3,19,23,3,24,34,33,13,3,28,15,18,5,3,4,6,1,4,1,3,8,1,1,4,41,75,7,40,21,64,43,42,12,69,67,30,24,9,2,24,24,36,46,10,0,23,100,51,3
Winston rigide souple,,8,6,10,24,17,32,47,4,26,30,3,35,40,49,16,2,22,30,35,6,6,5,11,1,3,1,2,5,1,1,2,61,46,13,90,38,44,42,62,23,36,31,52,33,15,6,48,41,41,25,9,3,26,51,100,4
Boyard blanc,,25,0,2,11,21,2,3,81,6,6,71,5,5,1,2,41,2,5,9,46,30,5,21,45,27,32,32,36,48,37,54,2,4,0,1,13,3,1,1,2,2,5,5,5,16,0,2,4,2,3,2,3,7,3,41,100