city,gender,day,iodine,goiter,frequency
1,1,0,1,1,106
1,1,1,1,1,60
1,1,2,1,1,64
1,2,0,1,1,77
1,2,1,1,1,46
1,2,2,1,1,44
2,1,0,1,1,127
2,1,1,2,1,145
2,1,2,2,1,161
2,2,0,1,1,69
2,2,1,2,1,76
2,2,2,2,1,89
3,1,0,1,1,91
3,1,1,2,1,94
3,1,2,2,1,99
3,2,0,1,1,42
3,2,1,2,1,50
3,2,2,2,1,67
4,1,0,1,1,112
4,1,1,2,1,155
4,1,2,2,1,171
4,2,0,1,1,86
4,2,1,2,1,119
4,2,2,2,1,132
1,1,0,1,2,12
1,1,1,1,2,31
1,1,2,1,2,23
1,2,0,1,2,21
1,2,1,1,2,28
1,2,2,1,2,29
2,1,0,1,2,27
2,1,1,2,2,28
2,1,2,2,2,16
2,2,0,1,2,21
2,2,1,2,2,40
2,2,2,2,2,28
3,1,0,1,2,8
3,1,1,2,2,14
3,1,2,2,2,7
3,2,0,1,2,18
3,2,1,2,2,29
3,2,2,2,2,18
4,1,0,1,2,47
4,1,1,2,2,26
4,1,2,2,2,12
4,2,0,1,2,40
4,2,1,2,2,26
4,2,2,2,2,12
1,1,0,1,3,46
1,1,1,1,3,46
1,1,2,1,3,50
1,2,0,1,3,71
1,2,1,1,3,63
1,2,2,1,3,67
2,1,0,1,3,45
2,1,1,2,3,19
2,1,2,2,3,12
2,2,0,1,3,65
2,2,1,2,3,41
2,2,2,2,3,33
3,1,0,1,3,14
3,1,1,2,3,10
3,1,2,2,3,12
3,2,0,1,3,45
3,2,1,2,3,38
3,2,2,2,3,32
4,1,0,1,3,30
4,1,1,2,3,10
4,1,2,2,3,12
4,2,0,1,3,47
4,2,1,2,3,39
4,2,2,2,3,41
1,1,0,1,4,11
1,1,1,1,4,15
1,1,2,1,4,14
1,2,0,1,4,65
1,2,1,1,4,65
1,2,2,1,4,57
2,1,0,1,4,12
2,1,1,2,4,1
2,1,2,2,4,2
2,2,0,1,4,50
2,2,1,2,4,13
2,2,2,2,4,10
3,1,0,1,4,6
3,1,1,2,4,0
3,1,2,2,4,0
3,2,0,1,4,34
3,2,1,2,4,13
3,2,2,2,4,6
4,1,0,1,4,13
4,1,1,2,4,1
4,1,2,2,4,2
4,2,0,1,4,55
4,2,1,2,4,18
4,2,2,2,4,22