Sleeping,Price,Fiber,Quality
One Kilo Bag,cheap,synthetic,good
Sund,cheap,synthetic,bad
Kompakt Basic,cheap,synthetic,good
Finmark Tour,cheap,synthetic,bad
Interlight Lyx,cheap,synthetic,bad
Kompakt,not-expensive,synthetic,acceptable
Touch the Cloud,not-expensive,synthetic,acceptable
Cats Meow,not-expensive,synthetic,good
Igloo Super,not-expensive,synthetic,bad
Donna,not-expensive,synthetic,acceptable
Tyin,not-expensive,synthetic,acceptable
Travellers Dream,not-expensive,down,good
Yeti Light,not-expensive,down,good
Climber,not-expensive,down,acceptable
Viking,not-expensive,down,good
Eiger,expensive,down,acceptable
Climber light,not-expensive,down,good
Cobra,expensive,down,good
Cobra Comfort,not-expensive,down,acceptable
Foxfire,expensive,down,good
Mont Blanc,expensive,down,good