Novel,Dot,Suspension,Exclamation,Question,Comma,Semicolon,Colon,Dash,Hyphen,Quote,Italic
Therese Raquin ,3468,236,138,76,6195,691,168,285,543,56,83
Madeleine Ferrat,5131,362,236,245,8012,922,291,518,1115,174,83
La fortune des Rougon,6157,238,534,229,11346,936,362,711,1301,238,142
La curee,4958,443,357,232,11164,738,364,679,1200,234,73
Le ventre de Paris,5538,534,426,232,13234,1015,318,734,1201,250,42
La conquete de Plassans,6292,943,756,512,11585,1285,402,1432,1916,162,74
La faute de labbe Mouret,6364,679,859,462,13948,634,377,1067,1564,72,165
Son excellence Eugene Rougon,7258,728,1002,496,14295,889,543,1469,1907,247,116
Lassommoir,7820,769,1929,443,19244,1399,436,995,2272,76,311
Une page damour,6206,843,918,492,11953,647,347,1235,1409,107,80
Nana,7821,1007,1796,611,17881,1087,509,1523,1797,185,80
Pot Bouille,6875,1045,1873,651,17044,912,675,1669,1935,78,162
Au bonheur des dames,6916,808,1313,651,18402,972,642,1531,2114,88,513
La joie de vivre,5803,710,972,623,13917,602,420,1142,1590,40,19
Germinal,7944,606,1463,729,21388,908,621,1362,2083,46,117
Louvre,5000,774,1692,668,18292,811,566,1107,1489,88,134
La terre,6979,957,2307,796,23417,947,657,1681,2113,70,95
Le reve,3052,292,385,237,9551,345,230,416,650,78,101
La bete humaine,5484,601,929,557,18264,673,467,957,1721,46,24
Largent,5022,850,1235,569,19267,684,399,1049,1677,48,101
La debacle,7440,860,1833,690,26482,832,564,1398,2197,68,64
Le docteur Pascal,4586,621,1072,464,15598,462,315,955,1218,50,44